brushing_frequency,flossing_frequency,sugary_food_frequency,gum_bleeding,dental_visits,brushing_duration,consistency_score,assessment_score,risk_level
3,1,2,1,0,1.5,77.0,45.5,High Risk
2,3,3,0,3,5.0,66.7,85.0,Medium Risk
2,4,4,0,1,4.2,63.1,69.7,High Risk
2,1,2,0,1,4.0,85.9,66.9,High Risk
3,1,2,0,1,2.4,62.1,68.7,High Risk
1,1,2,1,2,1.4,79.2,25.3,High Risk
3,3,2,0,3,3.7,68.0,97.4,Low Risk
2,2,1,0,3,4.7,40.4,84.3,Medium Risk
2,1,2,0,2,4.3,79.9,72.8,Medium Risk
2,1,6,0,0,1.5,75.6,25.3,High Risk
2,0,3,1,1,3.3,83.6,37.3,High Risk
2,0,3,0,4,1.7,47.7,52.4,High Risk
1,3,3,0,2,1.0,52.8,38.9,High Risk
0,5,0,0,2,1.6,74.4,55.8,High Risk
1,2,0,1,2,4.0,52.4,51.9,High Risk
2,4,3,0,2,3.0,48.2,70.2,Medium Risk
2,7,2,1,2,4.1,82.7,87.0,Low Risk
2,5,4,0,2,1.9,92.0,70.2,Medium Risk
0,2,1,0,0,3.6,49.3,34.0,High Risk
2,4,2,0,1,3.4,46.3,72.3,Low Risk
1,0,3,0,1,3.5,74.5,37.2,High Risk
3,5,2,0,2,4.5,48.5,100.0,Low Risk
2,3,0,0,1,4.7,64.0,87.8,Medium Risk
3,3,2,0,2,1.1,54.5,74.8,Medium Risk
2,3,2,0,3,1.8,47.7,68.0,Medium Risk
2,3,0,0,1,3.2,80.6,81.3,Medium Risk
3,0,3,0,3,4.9,72.8,85.3,Medium Risk
0,6,2,0,1,1.9,94.9,50.6,High Risk
2,1,2,0,1,2.4,41.8,50.7,High Risk
3,1,2,1,3,3.0,78.8,69.8,Medium Risk
3,6,4,0,3,2.8,93.5,100.0,Low Risk
3,5,1,1,1,2.3,44.4,75.5,Medium Risk
2,1,3,0,0,4.7,61.4,57.4,High Risk
3,4,0,0,1,2.6,92.2,99.4,Low Risk
2,1,2,0,2,3.9,82.3,70.7,Medium Risk
2,5,0,0,1,4.8,61.3,98.0,Low Risk
3,1,1,1,1,2.6,63.3,60.1,High Risk
0,1,3,0,0,3.2,78.3,20.9,High Risk
2,5,5,0,0,3.5,65.5,60.8,High Risk
3,0,3,1,0,1.3,47.4,29.9,High Risk
3,2,3,0,3,1.7,77.9,76.9,Medium Risk
3,3,0,0,0,3.2,52.2,87.0,Medium Risk
3,2,1,0,2,1.7,42.2,76.5,Medium Risk
3,2,1,0,2,2.3,82.0,86.1,Medium Risk
1,2,5,0,0,4.3,62.1,35.1,High Risk
1,4,2,0,2,2.8,65.3,61.6,High Risk
3,0,1,0,1,1.5,64.3,63.6,High Risk
0,4,1,0,0,2.4,74.8,40.6,High Risk
2,2,1,0,1,2.4,67.5,64.5,High Risk
2,0,3,0,1,2.9,91.2,51.1,High Risk
